Table Name in NetSuite2.com,Field ID in NetSuite2.com,Field Name in NetSuite2.com
transactionshippingaddressbookentityaddress,attention,
transferordershippingaddress,attention,
vendoraddressbookentityaddress,attention,
vendorbillbillingaddress,attention,
vendorcreditbillingaddress,attention,
vendorpaymentpayeeaddress,attention,
vendorprepaymentpayeeaddress,attention,
vendorreturnauthorizationbillingaddress,attention,
workplacemainaddress,attention,
cashrefundbillingaddress,city,
cashrefundshippingaddress,city,
cashsalebillingaddress,city,
cashsaleitemshippingaddress,city,
cashsaleshippingaddress,city,
checkpayeeaddress,city,
companyaddressbookentityaddress,city,
contactaddressbookentityaddress,city,
creditmemobillingaddress,city,
creditmemoitemshippingaddress,city,
creditmemoshippingaddress,city,
customeraddressbookentityaddress,city,
customerrefundpayeeaddress,city,
employeeaddressbookentityaddress,city,
entityaddress,city,
estimatebillingaddress,city,
estimateitemshippingaddress,city,
estimateshippingaddress,city,
intercompanytransferordershippingaddress,city,
invoicebillingaddress,city,
invoiceitemshippingaddress,city,
invoiceshippingaddress,city,
itemfulfillmentreturnaddress,city,
itemfulfillmentshippingaddress,city,
jobaddressbookentityaddress,city,
locationmainaddress,city,
locationreturnaddress,city,
mdrtestcheckpayeeaddress,city,
mfgprojectaddressbookentityaddress,city,
opportunitybillingaddress,city,
opportunityshippingaddress,city,
othernameaddressbookentityaddress,city,
partneraddressbookentityaddress,city,
purchaseorderbillingaddress,city,
purchaseordershippingaddress,city,
returnauthorizationbillingaddress,city,
returnauthorizationshippingaddress,city,
revenuecommitmentbillingaddress,city,
revenuecommitmentreversalbillingaddress,city,
revenuecommitmentreversalshippingaddress,city,
revenuecommitmentshippingaddress,city,
salesorderbillingaddress,city,
salesorderitemshippingaddress,city,
salesordershippingaddress,city,
subsidiarymainaddress,city,
subsidiaryreturnaddress,city,
subsidiaryshippingaddress,city,
transactionaddressmappingaddress,city,
transactionbillingaddress,city,
transactionbillingaddressbookentityaddress,city,
transactionlineaddressmappinglineaddress,city,
transactionpayeeaddressbookentityaddress,city,
transactionreturnaddressbookentityaddress,city,
transactionshippingaddress,city,
transactionshippingaddressbookentityaddress,city,
transferordershippingaddress,city,
vendoraddressbookentityaddress,city,
vendorbillbillingaddress,city,
vendorcreditbillingaddress,city,
vendorpaymentpayeeaddress,city,
vendorprepaymentpayeeaddress,city,
vendorreturnauthorizationbillingaddress,city,
workplacemainaddress,city,
cashrefundbillingaddress,addressee,
cashrefundshippingaddress,addressee,
cashsalebillingaddress,addressee,
cashsaleitemshippingaddress,addressee,
cashsaleshippingaddress,addressee,
checkpayeeaddress,addressee,
companyaddressbookentityaddress,addressee,
contactaddressbookentityaddress,addressee,
creditmemobillingaddress,addressee,
creditmemoitemshippingaddress,addressee,
creditmemoshippingaddress,addressee,
customeraddressbookentityaddress,addressee,
customerrefundpayeeaddress,addressee,
employeeaddressbookentityaddress,addressee,
entityaddress,addressee,
estimatebillingaddress,addressee,
estimateitemshippingaddress,addressee,
estimateshippingaddress,addressee,
intercompanytransferordershippingaddress,addressee,
invoicebillingaddress,addressee,
invoiceitemshippingaddress,addressee,
invoiceshippingaddress,addressee,
itemfulfillmentreturnaddress,addressee,
itemfulfillmentshippingaddress,addressee,
jobaddressbookentityaddress,addressee,
locationmainaddress,addressee,
locationreturnaddress,addressee,
mdrtestcheckpayeeaddress,addressee,
mfgprojectaddressbookentityaddress,addressee,
opportunitybillingaddress,addressee,
opportunityshippingaddress,addressee,
othernameaddressbookentityaddress,addressee,
partneraddressbookentityaddress,addressee,
purchaseorderbillingaddress,addressee,
purchaseordershippingaddress,addressee,
returnauthorizationbillingaddress,addressee,
returnauthorizationshippingaddress,addressee,
revenuecommitmentbillingaddress,addressee,
revenuecommitmentreversalbillingaddress,addressee,
revenuecommitmentreversalshippingaddress,addressee,
revenuecommitmentshippingaddress,addressee,
salesorderbillingaddress,addressee,
salesorderitemshippingaddress,addressee,
salesordershippingaddress,addressee,
subsidiarymainaddress,addressee,
subsidiaryreturnaddress,addressee,
subsidiaryshippingaddress,addressee,
transactionaddressmappingaddress,addressee,
transactionbillingaddress,addressee,
transactionbillingaddressbookentityaddress,addressee,
transactionlineaddressmappinglineaddress,addressee,
transactionpayeeaddressbookentityaddress,addressee,
transactionreturnaddressbookentityaddress,addressee,
transactionshippingaddress,addressee,
transactionshippingaddressbookentityaddress,addressee,
transferordershippingaddress,addressee,
vendoraddressbookentityaddress,addressee,
vendorbillbillingaddress,addressee,
vendorcreditbillingaddress,addressee,
vendorpaymentpayeeaddress,addressee,
vendorprepaymentpayeeaddress,addressee,
vendorreturnauthorizationbillingaddress,addressee,
workplacemainaddress,addressee,
cashrefundbillingaddress,country,
cashrefundshippingaddress,country,
cashsalebillingaddress,country,
cashsaleitemshippingaddress,country,
cashsaleshippingaddress,country,
checkpayeeaddress,country,
companyaddressbookentityaddress,country,
contactaddressbookentityaddress,country,
creditmemobillingaddress,country,
creditmemoitemshippingaddress,country,
creditmemoshippingaddress,country,
customeraddressbookentityaddress,country,
customerrefundpayeeaddress,country,
employeeaddressbookentityaddress,country,
entityaddress,country,
estimatebillingaddress,country,
estimateitemshippingaddress,country,
estimateshippingaddress,country,
intercompanytransferordershippingaddress,country,
invoicebillingaddress,country,
invoiceitemshippingaddress,country,
invoiceshippingaddress,country,
itemfulfillmentreturnaddress,country,
itemfulfillmentshippingaddress,country,
jobaddressbookentityaddress,country,
locationmainaddress,country,
locationreturnaddress,country,
mdrtestcheckpayeeaddress,country,
mfgprojectaddressbookentityaddress,country,
opportunitybillingaddress,country,
opportunityshippingaddress,country,
othernameaddressbookentityaddress,country,
partneraddressbookentityaddress,country,
purchaseorderbillingaddress,country,
purchaseordershippingaddress,country,
returnauthorizationbillingaddress,country,
returnauthorizationshippingaddress,country,
revenuecommitmentbillingaddress,country,
revenuecommitmentreversalbillingaddress,country,
revenuecommitmentreversalshippingaddress,country,
revenuecommitmentshippingaddress,country,
salesorderbillingaddress,country,
salesorderitemshippingaddress,country,
salesordershippingaddress,country,
subsidiarymainaddress,country,
subsidiaryreturnaddress,country,
subsidiaryshippingaddress,country,
transactionaddressmappingaddress,country,
transactionbillingaddress,country,
transactionbillingaddressbookentityaddress,country,
transactionlineaddressmappinglineaddress,country,
transactionpayeeaddressbookentityaddress,country,
transactionreturnaddressbookentityaddress,country,
transactionshippingaddress,country,
transactionshippingaddressbookentityaddress,country,
transferordershippingaddress,country,
vendoraddressbookentityaddress,country,
vendorbillbillingaddress,country,
vendorcreditbillingaddress,country,
vendorpaymentpayeeaddress,country,
vendorprepaymentpayeeaddress,country,
vendorreturnauthorizationbillingaddress,country,
workplacemainaddress,country,
cashrefundbillingaddress,lastmodifieddate,
cashrefundshippingaddress,lastmodifieddate,
cashsalebillingaddress,lastmodifieddate,
